year,tmID,playoff,confID,season_wins,season_losses,matches,win_rate,post_matches,post_win_rate,total_championships,players_nrAwards,o_pts,o_oreb,o_dreb,o_asts,o_stl,o_to,o_blk,o_pf,offensive_accuracy,d_pts,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,d_pf,deffensive_accuracy,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,dq,PostPoints,PostoRebounds,PostdRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostDQ,accuracy,PostAccuracy,coach_total_nrAwards,coach_matches,coach_win_rate
5,CHA,N,EA,18,16,130,0.4769230769230769,12.0,0.3333333333333333,0,0.0,65.20588235294117,10.058823529411764,18.5,14.676470588235292,8.205882352941176,14.617647058823527,3.3823529411764706,20.5,51.76593182059426,64.55882352941177,11.352941176470589,18.264705882352946,14.441176470588236,7.764705882352941,13.794117647058824,3.0588235294117645,17.823529411764707,48.98536762100248,207.5,29.0,60.875,51.875,25.5,12.875,45.125,62.375,0.25,12.125,1.625,2.25,2.5,1.0,0.625,1.375,3.125,0.0,50.77667751839584,54.14488017429194,0.0,34.0,0.5294117647058824
5,CON,Y,EA,18,16,34,0.5294117647058824,4.0,0.5,0,0.0,70.11764705882354,9.794117647058824,22.41176470588235,15.294117647058824,7.9411764705882355,12.764705882352942,3.264705882352941,19.5,49.16425157376018,70.8529411764706,10.764705882352942,23.88235294117647,16.264705882352942,7.411764705882353,14.0,2.588235294117647,19.676470588235293,49.59523058833933,288.6666666666667,40.833333333333336,87.5,51.833333333333336,27.833333333333332,14.5,45.166666666666664,75.33333333333333,0.8333333333333334,29.666666666666668,2.3333333333333335,8.833333333333334,5.166666666666667,2.6666666666666665,1.0,3.5,7.0,0.0,51.28741971815145,48.792774877786066,0.0,34.0,0.5294117647058824
5,DET,Y,EA,25,9,130,0.4461538461538462,8.0,0.75,1,2.0,75.08823529411765,11.147058823529411,25.029411764705884,16.029411764705884,7.735294117647059,17.88235294117647,4.647058823529412,17.794117647058822,51.48598992070828,70.44117647058823,11.470588235294118,19.823529411764707,14.823529411764708,9.088235294117649,14.617647058823527,3.794117647058824,22.764705882352946,47.90389742242427,257.6666666666667,41.55555555555556,95.55555555555556,57.111111111111114,27.555555555555557,18.0,58.77777777777778,69.0,0.3333333333333333,56.22222222222222,9.777777777777779,20.555555555555557,13.555555555555555,4.777777777777778,4.222222222222222,10.11111111111111,14.666666666666666,0.0,50.12122891369676,51.58090218959784,1.0,56.0,0.6071428571428571
5,HOU,N,WE,20,14,130,0.6923076923076923,14.0,0.5714285714285714,1,2.0,66.0,7.823529411764706,22.47058823529412,13.676470588235292,6.794117647058823,13.235294117647058,3.794117647058824,14.411764705882351,51.82619906890431,63.0,8.764705882352942,20.823529411764707,15.176470588235292,6.676470588235294,12.647058823529411,3.588235294117647,18.647058823529413,48.978591954023,179.83333333333334,23.583333333333332,57.416666666666664,32.833333333333336,18.583333333333332,11.416666666666666,35.583333333333336,40.0,0.16666666666666666,17.75,2.5,5.916666666666667,4.083333333333333,2.0833333333333335,1.25,3.3333333333333335,4.5,0.0,50.837176344196635,50.73113574552388,0.0,130.0,0.6923076923076923
5,IND,N,EA,16,18,130,0.3923076923076923,3.0,0.3333333333333333,0,0.0,68.73529411764706,9.823529411764708,19.235294117647054,15.852941176470589,8.794117647058824,13.941176470588236,3.5588235294117645,19.647058823529413,52.15728973181546,68.26470588235294,9.088235294117649,19.91176470588235,16.764705882352942,6.676470588235294,15.058823529411764,5.0,18.558823529411764,52.6541979618275,251.2,36.7,64.4,50.3,27.1,12.8,43.0,65.7,0.5,2.1,0.2,1.1,0.5,0.2,0.0,0.1,1.0,0.0,53.61673226484404,29.72222222222222,0.0,0.0,0.0
5,LAS,Y,WE,24,10,130,0.8076923076923077,26.0,0.7307692307692307,2,1.0,73.5,9.882352941176473,23.91176470588235,17.264705882352942,7.117647058823529,13.823529411764708,4.735294117647059,20.058823529411764,51.31126207071125,71.52941176470588,9.294117647058824,23.205882352941178,16.823529411764707,7.088235294117647,13.764705882352942,3.735294117647059,19.235294117647054,49.47550658154602,316.75,39.875,105.5,84.125,31.375,22.0,66.875,82.0,1.25,78.5,8.875,23.25,21.125,8.625,5.625,13.0,20.0,0.25,51.42924371270068,52.26534741932094,1.0,130.0,0.8076923076923077
5,MIN,Y,WE,18,16,130,0.4230769230769231,3.0,0.3333333333333333,0,0.0,70.0,10.617647058823527,21.11764705882353,17.058823529411764,7.117647058823529,16.41176470588235,2.9705882352941178,18.647058823529413,50.234377427490216,69.70588235294117,9.911764705882351,19.176470588235293,15.529411764705882,7.970588235294118,13.852941176470589,3.7058823529411766,19.58823529411765,49.60496943862551,266.3333333333333,33.0,82.0,83.5,31.0,13.333333333333334,70.16666666666667,86.16666666666667,1.3333333333333333,18.833333333333332,1.5,5.333333333333333,8.0,2.8333333333333335,0.8333333333333334,6.333333333333333,7.833333333333333,0.0,50.57961082435671,51.201971566641234,0.0,34.0,0.5294117647058824
5,NYL,Y,EA,16,18,130,0.5769230769230769,21.0,0.5238095238095238,0,0.0,65.97058823529412,7.970588235294118,20.176470588235293,15.5,7.705882352941177,13.823529411764708,3.764705882352941,17.264705882352942,51.94141621903238,66.3529411764706,9.588235294117649,21.647058823529413,14.882352941176473,7.911764705882353,14.117647058823527,2.823529411764706,18.058823529411764,51.36714554793691,221.875,25.25,61.0,41.125,23.625,11.625,39.75,47.75,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.00296980817316,0.0,0.0,130.0,0.5769230769230769
5,PHO,N,WE,8,26,130,0.4,2.0,0.0,0,0.0,61.6764705882353,10.5,18.91176470588235,13.558823529411764,9.117647058823527,14.088235294117649,3.264705882352941,19.529411764705884,46.54572673008887,66.76470588235294,8.911764705882353,23.852941176470587,14.970588235294118,8.088235294117647,17.941176470588236,4.294117647058823,19.61764705882353,51.92305701536026,238.0,42.55555555555556,75.44444444444444,34.888888888888886,29.0,12.222222222222221,45.0,69.66666666666667,1.1111111111111112,5.0,0.1111111111111111,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.6666666666666666,1.1111111111111112,0.0,47.74087459033481,52.59259259259259,0.0,0.0,0.0
5,SAC,Y,WE,19,15,130,0.5692307692307692,13.0,0.4615384615384615,0,1.0,67.61764705882354,10.264705882352942,21.11764705882353,16.705882352941178,8.735294117647058,13.558823529411764,3.588235294117647,18.852941176470587,46.83836519835798,65.17647058823529,10.147058823529411,22.08823529411765,15.176470588235292,6.588235294117647,16.941176470588236,4.147058823529412,18.823529411764707,48.58484437577627,226.3,34.0,70.4,55.6,29.5,11.9,43.9,62.5,0.7,37.5,5.1,13.7,8.4,2.4,1.9,7.8,10.5,0.0,46.867651652451606,48.680473952213084,0.0,16.0,0.75
5,SAS,N,WE,12,22,34,0.3529411764705882,0.0,0.0,0,0.0,65.1470588235294,10.294117647058824,23.38235294117647,12.588235294117649,5.5,15.088235294117649,4.911764705882353,21.41176470588235,46.97316931706386,71.38235294117646,11.441176470588236,23.029411764705884,15.588235294117649,8.088235294117647,12.470588235294118,4.117647058823529,19.676470588235293,47.92558243290912,233.9,32.0,71.2,51.4,21.7,14.2,50.7,58.0,0.4,9.6,1.2,2.9,2.4,0.8,0.6,1.9,2.7,0.0,46.73259702974858,55.06211180124223,0.0,12.0,0.5
